"totalListings" "totalTickets" "minQuantity" "maxQuantity" "mapDisplayType" "eventid" "timestamp"

540 1330 1 10 "section" 9220595 "03-01-2015_16.18.50"

541 1327 1 30 "section" 9220596 "03-01-2015_16.18.50"

517 1229 1 10 "section" 9220597 "03-01-2015_16.18.50"

663 1631 1 11 "section" 9220595 "03-05-2015_20.09.20"

666 1635 1 11 "section" 9220595 "03-05-2015_20.33.21"

672 1604 1 12 "section" 9220596 "03-05-2015_20.33.29"

601 1429 1 12 "section" 9220597 "03-05-2015_20.33.35"

664 1624 1 11 "section" 9220595 "03-06-2015_07.45.16"
666 1590 1 12 "section" 9220596 "03-06-2015_07.45.38"
599 1421 1 12 "section" 9220597 "03-06-2015_07.46.24"
660 1612 1 11 "section" 9220595 "03-06-2015_15.19.46"
666 1591 1 12 "section" 9220596 "03-06-2015_15.20.01"
596 1416 1 12 "section" 9220597 "03-06-2015_15.20.14"
659 1606 1 11 "section" 9220595 "03-06-2015_16.00.01"
666 1589 1 12 "section" 9220596 "03-06-2015_16.00.06"
597 1417 1 12 "section" 9220597 "03-06-2015_16.00.12"
659 1606 1 11 "section" 9220595 "03-06-2015_16.30.01"
665 1587 1 12 "section" 9220596 "03-06-2015_16.30.07"
598 1419 1 12 "section" 9220597 "03-06-2015_16.30.12"
658 1605 1 11 "section" 9220595 "03-06-2015_17.09.37"
666 1591 1 12 "section" 9220596 "03-06-2015_17.21.43"
597 1418 1 12 "section" 9220597 "03-06-2015_17.21.50"
657 1603 1 11 "section" 9220595 "03-06-2015_17.30.01"
667 1595 1 12 "section" 9220596 "03-06-2015_17.30.29"
597 1418 1 12 "section" 9220597 "03-06-2015_17.31.49"
656 1602 1 11 "section" 9220595 "03-06-2015_18.00.01"
666 1594 1 12 "section" 9220596 "03-06-2015_18.01.12"
597 1418 1 12 "section" 9220597 "03-06-2015_18.01.23"
659 1613 1 11 "section" 9220595 "03-07-2015_16.55.53"
659 1576 1 12 "section" 9220596 "03-07-2015_16.56.10"
597 1416 1 11 "section" 9220597 "03-07-2015_17.10.38"
661 1633 1 11 "section" 9220595 "03-08-2015_11.42.06"
662 1584 1 12 "section" 9220596 "03-08-2015_11.42.50"
601 1442 1 11 "section" 9220597 "03-08-2015_11.42.55"
661 1635 1 11 "section" 9220595 "03-08-2015_12.00.03"
663 1586 1 12 "section" 9220596 "03-08-2015_12.00.08"
601 1442 1 11 "section" 9220597 "03-08-2015_12.00.11"
667 1639 1 11 "section" 9220595 "03-05-2015_23.05.46"
667 1639 1 11 "section" 9220595 "03-05-2015_23.08.01"
667 1639 1 11 "section" 9220595 "03-05-2015_23.14.42"
671 1610 1 12 "section" 9220596 "03-05-2015_23.08.46"
671 1610 1 12 "section" 9220596 "03-05-2015_23.14.50"
602 1435 1 12 "section" 9220597 "03-05-2015_23.14.30"
602 1435 1 12 "section" 9220597 "03-05-2015_23.15.03"
665 1643 1 11 "section" 9220595 "03-08-2015_18.00.07"
660 1583 1 12 "section" 9220596 "03-08-2015_18.00.44"
600 1446 1 11 "section" 9220597 "03-08-2015_18.02.09"
669 1647 1 11 "section" 9220595 "03-09-2015_00.00.01"
657 1574 1 12 "section" 9220596 "03-09-2015_00.00.16"
603 1451 1 11 "section" 9220597 "03-09-2015_00.00.23"
668 1643 1 11 "section" 9220595 "03-09-2015_06.00.01"
655 1571 1 12 "section" 9220596 "03-09-2015_06.00.23"
602 1449 1 11 "section" 9220597 "03-09-2015_06.00.58"
661 1637 1 11 "section" 9220595 "03-09-2015_16.01.01"
656 1572 1 11 "section" 9220596 "03-09-2015_16.01.26"
611 1471 1 11 "section" 9220597 "03-09-2015_16.02.06"
658 1631 1 11 "section" 9220595 "03-09-2015_18.00.01"
